Date,home_team,away_team,home_score,away_score,elo_home,elo_away,elo_diff,home_form_wins,home_form_draws,home_form_losses,home_form_gf,home_form_ga,home_form_gd,away_form_wins,away_form_draws,away_form_losses,away_form_gf,away_form_ga,away_form_gd,outcome
1950-07-13,Uruguay,Sweden,3,2,1619.7289283895666,1484.0814662732341,135.64746211633246,4,1,0,24,5,19,1,1,3,9,20,-11,1
1950-07-13,Brazil,Spain,6,1,1604.6935883858446,1569.8559133099393,34.83767507590528,4,1,0,19,5,14,3,1,1,8,4,4,1
1950-07-16,Uruguay,Brazil,2,1,1629.7813064768686,1632.775579395932,-2.9942729190634054,4,1,0,23,7,16,4,1,0,21,4,17,1
1950-07-16,Sweden,Spain,3,1,1474.029088185932,1541.7739222998518,-67.74483411391975,1,1,3,10,18,-8,3,1,1,9,9,0,1
1954-06-16,Uruguay,Czechoslovakia,2,0,1645.9191944268323,1542.9697077224766,102.94948670435565,4,1,0,19,7,12,2,1,2,9,6,3,1
1954-06-16,Austria,Scotland,1,0,1500.9305320950848,1500.0,0.9305320950848,2,0,2,7,7,0,0,0,0,0,0,0,1
1954-06-16,Brazil,Mexico,5,0,1616.6376914459684,1374.3659541929103,242.27173725305806,3,1,1,18,6,12,0,0,5,5,19,-14,1
1954-06-16,Yugoslavia,France,1,0,1533.6529647230043,1482.5909720691989,51.06199265380542,3,0,2,12,9,3,1,0,4,6,9,-3,1
1954-06-17,England,Belgium,4,4,1492.6203563473318,1410.917009815231,81.7033465321008,1,0,2,2,2,0,0,0,4,3,12,-9,0
1954-06-17,Germany,Turkey,4,1,1504.2662597147867,1500.0,4.266259714786656,2,1,2,9,11,-2,0,0,0,0,0,0,1
1954-06-17,Hungary,South Korea,9,0,1568.7929036347057,1500.0,68.79290363470568,3,0,2,16,7,9,0,0,0,0,0,0,1
1954-06-17,Switzerland,Italy,2,1,1492.3868445407945,1637.4714473512654,-145.08460281047087,2,1,2,8,10,-2,4,0,1,13,7,6,1
1954-06-19,France,Mexico,3,2,1468.9256782667937,1361.9689515192438,106.95672674754996,1,0,4,6,9,-3,0,0,5,5,21,-16,1
1954-06-19,Austria,Czechoslovakia,5,0,1516.8876796109344,1525.8801327925926,-8.99245318165822,3,0,2,8,7,1,1,1,3,6,7,-1,1
1954-06-19,Brazil,Yugoslavia,1,1,1629.0346941196349,1547.3182585254094,81.71643559422546,4,0,1,21,4,17,3,0,2,9,9,0,0
1954-06-19,Uruguay,Scotland,7,0,1663.0087693567164,1484.0428524841504,178.9659168725659,4,1,0,17,5,12,0,0,1,0,1,-1,1
1954-06-20,Turkey,South Korea,7,0,1472.343802631338,1469.7490816228,2.5947210085378174,0,0,1,1,4,-3,0,0,1,0,9,-9,1
1954-06-20,Hungary,Germany,8,3,1599.0438220119056,1531.9224570834488,67.12136492845684,4,0,1,24,5,19,2,1,2,11,11,0,1
1954-06-20,Switzerland,England,0,2,1514.7051759066833,1488.9256353743185,25.779540532364763,2,1,2,6,9,-3,1,1,2,6,6,0,-1
